png,y,x,conf,text
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,93,119,0.978,PercentCapacitybySchool（updated1/26/2024)
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,95,1200,0.988,OrangeindicatesinitialEngagementPhasecriteriamet(<=1.5roundsand/or<=50%)
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,126,961,0.983,BoxIndicatesallEngagementPhaseCriteraMet（<=1.5roundsand<=50%in2023-24andprojectedfor5years)
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,149,1572,0.977,Mountainorspecializedprogram(exempt)
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,188,483,0.997,ACTUAL
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,189,1343,0.997,PROJECTED
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,213,1521,0.998,2027-28
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,214,996,0.998,2025-26
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,214,1703,0.999,2027
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,215,518,0.998,2023-24
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,215,1175,0.999,2025
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,215,1384,0.978,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,302,0.998,2023-24
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,634,0.901,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,689,0.999,2023
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,759,0.998,2024-25
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,873,0.838,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,928,0.999,2024
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1251,0.998,2026-27
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1456,0.999,2026
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1643,0.978,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1781,0.998,2028-29
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1906,0.981,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,216,1973,0.999,2028
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,217,412,0.964,Capacity
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,217,1114,0.993,%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,240,1016,0.989,Proj.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,777,0.993,Proj.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,1269,0.991,Proj.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,1369,0.967,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,1542,0.986,Proj.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,1629,0.982,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,241,1799,0.984,Proj.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,242,115,0.993,Elementary
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,242,532,0.996,Enroll
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,242,621,0.992,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,242,1893,0.989,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,243,417,0.998,Rounds
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,243,862,0.983,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,243,1100,0.992,Cap.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,244,297,0.996,Capacity*
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,244,687,0.994,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,244,925,0.994,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,244,1452,0.993,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,244,1703,0.993,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,245,1969,0.994,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,246,1173,0.993,Rnds.
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,271,813,0.999,440
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,271,1305,0.999,440
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,328,0.996,461
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,477,0.999,3.0
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,544,0.999,420
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,634,0.981,91%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,722,0.999,2.8
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,873,0.998,95%
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,959,0.999,2.9
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,1026,0.998,439
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,273,1113,0.999,95%
