school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Columbine Elementary School,2028,jan2025,jan2026,4,310.0,325.0,15.0,4.838709677419355,False,4.838709677419355
Columbine Elementary School,2029,jan2025,jan2026,5,294.0,321.0,27.0,9.183673469387756,False,9.183673469387756
Community Montessori,2026,jan2025,jan2026,2,233.0,175.0,-58.0,-24.892703862660944,False,24.892703862660944
Community Montessori,2027,jan2025,jan2026,3,237.0,172.0,-65.0,-27.426160337552744,False,27.426160337552744
Community Montessori,2028,jan2025,jan2026,4,238.0,163.0,-75.0,-31.51260504201681,False,31.51260504201681
Community Montessori,2029,jan2025,jan2026,5,240.0,167.0,-73.0,-30.416666666666668,False,30.416666666666668
Creekside Elementary at Martin Park,2026,jan2025,jan2026,2,296.0,277.0,-19.0,-6.418918918918919,False,6.418918918918919
Creekside Elementary at Martin Park,2027,jan2025,jan2026,3,268.0,252.0,-16.0,-5.970149253731344,False,5.970149253731344
Creekside Elementary at Martin Park,2028,jan2025,jan2026,4,244.0,226.0,-18.0,-7.377049180327869,False,7.377049180327869
Creekside Elementary at Martin Park,2029,jan2025,jan2026,5,229.0,223.0,-6.0,-2.6200873362445414,False,2.6200873362445414
Crest View Elementary,2026,jan2025,jan2026,2,361.0,318.0,-43.0,-11.911357340720222,False,11.911357340720222
Crest View Elementary,2027,jan2025,jan2026,3,343.0,304.0,-39.0,-11.370262390670554,False,11.370262390670554
Crest View Elementary,2028,jan2025,jan2026,4,332.0,300.0,-32.0,-9.63855421686747,False,9.63855421686747
Crest View Elementary,2029,jan2025,jan2026,5,335.0,310.0,-25.0,-7.462686567164179,False,7.462686567164179
Douglass Elementary School,2026,jan2025,jan2026,2,273.0,278.0,5.0,1.8315018315018314,False,1.8315018315018314
Douglass Elementary School,2027,jan2025,jan2026,3,270.0,278.0,8.0,2.962962962962963,False,2.962962962962963
Douglass Elementary School,2028,jan2025,jan2026,4,263.0,272.0,9.0,3.4220532319391634,False,3.4220532319391634
Douglass Elementary School,2029,jan2025,jan2026,5,260.0,277.0,17.0,6.538461538461538,False,6.538461538461538
Eisenhower Elementary School,2026,jan2025,jan2026,2,255.0,253.0,-2.0,-0.7843137254901961,False,0.7843137254901961
Eisenhower Elementary School,2027,jan2025,jan2026,3,258.0,246.0,-12.0,-4.651162790697675,False,4.651162790697675
Eisenhower Elementary School,2028,jan2025,jan2026,4,257.0,246.0,-11.0,-4.280155642023346,False,4.280155642023346
Eisenhower Elementary School,2029,jan2025,jan2026,5,258.0,247.0,-11.0,-4.263565891472868,False,4.263565891472868
Eldorado K-8,2026,jan2025,jan2026,2,242.0,253.0,11.0,4.545454545454546,False,4.545454545454546
Eldorado K-8,2027,jan2025,jan2026,3,239.0,247.0,8.0,3.3472803347280333,False,3.3472803347280333
Eldorado K-8,2028,jan2025,jan2026,4,247.0,248.0,1.0,0.4048582995951417,False,0.4048582995951417
Eldorado K-8,2029,jan2025,jan2026,5,256.0,250.0,-6.0,-2.34375,False,2.34375
Emerald Elementary School,2026,jan2025,jan2026,2,348.0,355.0,7.0,2.0114942528735633,False,2.0114942528735633
Emerald Elementary School,2027,jan2025,jan2026,3,348.0,341.0,-7.0,-2.0114942528735633,False,2.0114942528735633
Emerald Elementary School,2028,jan2025,jan2026,4,350.0,337.0,-13.0,-3.7142857142857144,False,3.7142857142857144
Emerald Elementary School,2029,jan2025,jan2026,5,365.0,346.0,-19.0,-5.205479452054795,False,5.205479452054795
Fireside Elementary School,2026,jan2025,jan2026,2,375.0,385.0,10.0,2.6666666666666665,False,2.6666666666666665
Fireside Elementary School,2027,jan2025,jan2026,3,358.0,373.0,15.0,4.189944134078212,False,4.189944134078212
Fireside Elementary School,2028,jan2025,jan2026,4,333.0,358.0,25.0,7.5075075075075075,False,7.5075075075075075
Fireside Elementary School,2029,jan2025,jan2026,5,326.0,355.0,29.0,8.895705521472392,False,8.895705521472392
Flatirons Elementary School,2026,jan2025,jan2026,2,164.0,147.0,-17.0,-10.365853658536585,False,10.365853658536585
Flatirons Elementary School,2027,jan2025,jan2026,3,175.0,154.0,-21.0,-12.0,False,12.0
Flatirons Elementary School,2028,jan2025,jan2026,4,169.0,149.0,-20.0,-11.834319526627219,False,11.834319526627219
Flatirons Elementary School,2029,jan2025,jan2026,5,169.0,146.0,-23.0,-13.609467455621301,False,13.609467455621301
Foothill Elementary School,2026,jan2025,jan2026,2,418.0,437.0,19.0,4.545454545454546,False,4.545454545454546
Foothill Elementary School,2027,jan2025,jan2026,3,402.0,444.0,42.0,10.447761194029852,False,10.447761194029852
Foothill Elementary School,2028,jan2025,jan2026,4,376.0,439.0,63.0,16.75531914893617,False,16.75531914893617
Foothill Elementary School,2029,jan2025,jan2026,5,353.0,432.0,79.0,22.379603399433428,False,22.379603399433428
Gold Hill Elementary School,2026,jan2025,jan2026,2,12.0,13.0,1.0,8.333333333333334,True,8.333333333333334
Gold Hill Elementary School,2027,jan2025,jan2026,3,12.0,13.0,1.0,8.333333333333334,True,8.333333333333334
Gold Hill Elementary School,2028,jan2025,jan2026,4,10.0,13.0,3.0,30.0,True,30.0
Gold Hill Elementary School,2029,jan2025,jan2026,5,10.0,12.0,2.0,20.0,True,20.0
Heatherwood Elementary School,2026,jan2025,jan2026,2,224.0,216.0,-8.0,-3.5714285714285716,False,3.5714285714285716
Heatherwood Elementary School,2027,jan2025,jan2026,3,213.0,209.0,-4.0,-1.8779342723004695,False,1.8779342723004695
Heatherwood Elementary School,2028,jan2025,jan2026,4,215.0,214.0,-1.0,-0.46511627906976744,False,0.46511627906976744
Heatherwood Elementary School,2029,jan2025,jan2026,5,211.0,203.0,-8.0,-3.7914691943127963,False,3.7914691943127963
Jamestown Elementary School,2026,jan2025,jan2026,2,17.0,19.0,2.0,11.764705882352942,True,11.764705882352942
Jamestown Elementary School,2027,jan2025,jan2026,3,16.0,17.0,1.0,6.25,True,6.25
Jamestown Elementary School,2028,jan2025,jan2026,4,17.0,16.0,-1.0,-5.882352941176471,True,5.882352941176471
Jamestown Elementary School,2029,jan2025,jan2026,5,17.0,16.0,-1.0,-5.882352941176471,True,5.882352941176471
Kohl Elementary School,2026,jan2025,jan2026,2,245.0,258.0,13.0,5.3061224489795915,False,5.3061224489795915
Kohl Elementary School,2027,jan2025,jan2026,3,237.0,258.0,21.0,8.860759493670885,False,8.860759493670885
Kohl Elementary School,2028,jan2025,jan2026,4,227.0,256.0,29.0,12.775330396475772,False,12.775330396475772
Kohl Elementary School,2029,jan2025,jan2026,5,227.0,262.0,35.0,15.418502202643172,False,15.418502202643172
Lafayette Elementary School,2026,jan2025,jan2026,2,478.0,454.0,-24.0,-5.02092050209205,False,5.02092050209205
Lafayette Elementary School,2027,jan2025,jan2026,3,460.0,435.0,-25.0,-5.434782608695652,False,5.434782608695652
Lafayette Elementary School,2028,jan2025,jan2026,4,435.0,420.0,-15.0,-3.4482758620689653,False,3.4482758620689653
Lafayette Elementary School,2029,jan2025,jan2026,5,423.0,411.0,-12.0,-2.8368794326241136,False,2.8368794326241136
Louisville Elementary School,2026,jan2025,jan2026,2,388.0,373.0,-15.0,-3.865979381443299,False,3.865979381443299
Louisville Elementary School,2027,jan2025,jan2026,3,367.0,363.0,-4.0,-1.0899182561307903,False,1.0899182561307903
Louisville Elementary School,2028,jan2025,jan2026,4,370.0,360.0,-10.0,-2.7027027027027026,False,2.7027027027027026
Louisville Elementary School,2029,jan2025,jan2026,5,366.0,355.0,-11.0,-3.0054644808743167,False,3.0054644808743167
Meadowlark School,2026,jan2025,jan2026,2,461.0,479.0,18.0,3.9045553145336225,False,3.9045553145336225
Meadowlark School,2027,jan2025,jan2026,3,497.0,511.0,14.0,2.816901408450704,False,2.816901408450704
Meadowlark School,2028,jan2025,jan2026,4,537.0,544.0,7.0,1.303538175046555,False,1.303538175046555
Meadowlark School,2029,jan2025,jan2026,5,582.0,577.0,-5.0,-0.8591065292096219,False,0.8591065292096219
Mesa Elementary School,2026,jan2025,jan2026,2,220.0,217.0,-3.0,-1.3636363636363635,False,1.3636363636363635
Mesa Elementary School,2027,jan2025,jan2026,3,218.0,203.0,-15.0,-6.8807339449541285,False,6.8807339449541285
Mesa Elementary School,2028,jan2025,jan2026,4,216.0,203.0,-13.0,-6.018518518518518,False,6.018518518518518
Mesa Elementary School,2029,jan2025,jan2026,5,224.0,202.0,-22.0,-9.821428571428571,False,9.821428571428571
Monarch K-8 School,2026,jan2025,jan2026,2,278.0,270.0,-8.0,-2.8776978417266186,False,2.8776978417266186
Monarch K-8 School,2027,jan2025,jan2026,3,284.0,258.0,-26.0,-9.154929577464788,False,9.154929577464788
Monarch K-8 School,2028,jan2025,jan2026,4,289.0,258.0,-31.0,-10.726643598615917,False,10.726643598615917
Monarch K-8 School,2029,jan2025,jan2026,5,293.0,274.0,-19.0,-6.484641638225256,False,6.484641638225256
Nederland Elementary School,2026,jan2025,jan2026,2,179.0,171.0,-8.0,-4.4692737430167595,False,4.4692737430167595
Nederland Elementary School,2027,jan2025,jan2026,3,177.0,166.0,-11.0,-6.214689265536723,False,6.214689265536723
Nederland Elementary School,2028,jan2025,jan2026,4,181.0,167.0,-14.0,-7.734806629834254,False,7.734806629834254
Nederland Elementary School,2029,jan2025,jan2026,5,184.0,169.0,-15.0,-8.152173913043478,False,8.152173913043478
Pioneer Elementary School,2026,jan2025,jan2026,2,390.0,349.0,-41.0,-10.512820512820513,False,10.512820512820513
Pioneer Elementary School,2027,jan2025,jan2026,3,389.0,341.0,-48.0,-12.339331619537274,False,12.339331619537274
Pioneer Elementary School,2028,jan2025,jan2026,4,388.0,337.0,-51.0,-13.144329896907216,False,13.144329896907216
Pioneer Elementary School,2029,jan2025,jan2026,5,392.0,336.0,-56.0,-14.285714285714286,False,14.285714285714286
Ryan Elementary School,2026,jan2025,jan2026,2,424.0,381.0,-43.0,-10.141509433962264,False,10.141509433962264
